Inference,Confidence,Time_stamp
"Arabian camel, dromedary, Camelus dromedarius",34.5,"10/29/2021, 06:34:46"
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",97.56,"10/29/2021, 06:35:07"
